Inputs;;;;;;;Outputs;;;;;
Flow UUID;Flow;Category;Sub-category;Unit;Result;;Flow UUID;Flow;Category;Sub-category;Unit;Result
08a91e70-3ddc-11dd-93f0-0050c2490048;Aggregate, natural;Resource;in ground;kg;0,352602321;;0f54a3c3-f4fc-421a-8e5d-e2c207fce5d0;(Aminooxy)(hydroxy)sulfane dioxide;Emission to soil;industrial;kg;1,63994E-14
fe0acd60-3ddc-11dd-aaa4-0050c2490048;Air;Resource;in air;kg;1939,848097;;e87f039d-d9ce-4242-ac18-c9284cc80f3d;1,1,1,2-Tetrafluoroethane;Emission to air;unspecified;kg;1,32152E-06
a4b01216-5a08-4078-b5fd-16e437929eb9;Aluminium III;Resource;in ground;kg;0,165542099;;fa0c2bee-8dd9-4f8a-8489-b1f3b43de958;1,1,1,2-Tetrafluoroethane;Emission to air;high population density;kg;4,27876E-07
6df9ea09-115a-4678-9f30-d92c877a46ec;Anhydrite;Resource;in ground;kg;4,98851E-07;;16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74;1,1,1,2-Tetrafluoroethane;Emission to air;low population density;kg;2,58053E-07
47262180-8308-5d4c-9332-c77617e032ef;Antimony;Resource;in ground;kg;5,84151E-14;;99585564-bfce-4845-9aaa-2f24b8f26a41;1,1,1-Trichloroethane;Emission to air;low population density;kg;1,01557E-09
9dcebf82-e6b3-400d-98bb-353ac079cbe1;Antimony ion;Resource;in ground;kg;4,18201E-09;;ce6294f5-2ed7-46ee-a967-33e265e34455;1,1,1-Trichloroethane;Emission to air;unspecified;kg;5,87877E-10
08a91e70-3ddc-11dd-97f9-0050c2490048;Barite;Resource;in ground;kg;0,854723623;;c8e5538f-17a1-4f62-aa64-39a91adb5cd3;1,1,1-Trichloroethane;Emission to water;unspecified;kg;1,98403E-18
a6f520ba-97fe-411f-9a62-3338195595ee;Basalt;Resource;in air;kg;2,8421E-06;;df56b189-6a5d-4d91-a378-4e5ba1e53dff;1,1,2,2-Tetrachloroethane;Emission to air;unspecified;kg;6,5766E-10
ac3a8914-35f0-4c34-a956-f26b3a053e4a;Basalt;Resource;in ground;kg;0,157981482;;f43d0aea-fb0d-4dff-a86f-b0855772059f;1,1,2,2-Tetrachloroethane;Emission to water;unspecified;kg;3,3588E-12
4c8b42bd-8911-49ab-b937-f3679759cca6;Basalt;Resource;biotic;kg;7,59258E-10;;8b643480-8423-4eeb-a78c-d3b3ad9cd1a9;1,1,2,2-Tetrachloroethane;Emission to water;fresh water;kg;2,87082E-15
733b2c7c-60ef-4c1b-b9cb-c010e3fd2275;Bauxite;Resource;in ground;kg;0,034282861;;cacfd448-6c2d-4061-9363-fd506b979f25;1,1,2-Trichloro-1,2,2-trifluoroethane;Emission to air;unspecified;kg;3,33545E-08
4aa7d05c-1cc7-4468-a017-e17ce80581b8;Biotic Production;Resource;land;kg/a;0,001909237;;9b132374-dce2-4ce0-86aa-53201b30f617;1,1,2-Trichloro-1,2,2-trifluoroethane;Emission to air;high population density;kg;5,85339E-09
